sentence,ground_truth_control,baseline_control,rag_control,ground_truth_applicable,baseline_applicable,rag_applicable,ground_truth_status,baseline_status,rag_status,baseline_time,rag_time,baseline_raw,rag_raw,retrieved_controls,retrieval_scores
Dokumen sensitif sering dibiarkan terbuka di meja tanpa pengawasan dan komputer tidak dikunci.,A.7.7,A.7.1,A.7.7,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,35.89,56.33,"{""control_id"": ""A.7.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Dokumen sensitif terbuka tanpa pengawasan mungkin melanggar kebijakan perlindungan dokumen dan risiko fisiknya."", ""recommendation"": ""Implementasikan kebijakan pengawasan dan penyimpanan dokumen yang tepat untuk mengurangi risiko.""}","{""control_id"": ""A.7.7"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kebijakan A.7.7 mengatur aturan meja bersih dan layar bersih untuk dokumen kertas dan media penyimpanan yang dapat dilepas, serta fasilitas pemrosesan informasi. Kondisi di organisasi dalam kasus ini belum mencakup kebijakan ini."", ""recommendation"": ""Implementasikan kebijakan A.7.7 dengan mengatur aturan meja bersih dan layar bersih untuk dokumen kertas dan media penyimpanan yang sensitif.""}",A.7.7;A.7.14;A.8.10,0.7026;0.6187;0.5539
Server ditempatkan di ruangan terkendali dengan kontrol suhu dan kelembaban yang dipantau 24/7.,A.7.8,A.7.1,A.8.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,46.29,63.85,"{""control_id"": ""A.7.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kondisi ruangan server yang terkendali membantu memastikan kondisi teknis dan fisik yang tepat, sesuai dengan kontrol ISO 27001 A.7.1 yang berkaitan dengan pengaturan lingkungan fisik."", ""recommendation"": ""Jika masih ada area tertentu yang belum mendapatkan perawatan hujanan, penerangan, dan suhu, lakukan penyiapan sesuai kebutuhan.""}","{""control_id"": ""A.8.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Server yang terletak di ruangan dengan kontrol suhu dan kelembaban dipantau 24/7 memastikan bahwa server tetap dalam kondisi optimal, sesuai persyaratan sistem informasi. Hal ini termasuk dalam manajemen kapasitas karena memastikan sistem operasional tidak mengalami gangguan teknis akibat perubahan suhu atau kelembaban yang tidak diinginkan."", ""recommendation"": ""Bisa ditingkatkan dengan menggunakan sensor tekanan udara dan kontrol perubahan pergerakan udara untuk memastikan kualitas udara dalam ruangan server terus optimal.""}",A.8.6;A.5.37;A.6.8,0.4509;0.4454;0.4021
Server ditempatkan di ruangan terkendali dengan kontrol suhu dan kelembaban yang dipantau 24/7.,A.7.8,A.7.6,A.7.10,Yes,Yes,Yes,Implemented,Implemented,Implemented,40.85,60.93,"{""control_id"": ""A.7.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Pemindahan server di ruangan terkendali memastikan perlindungan dari kerentanan fisik dan kondisi lingkungan yang tepat."", ""recommendation"": ""Bisnis harus berkoordinasi dengan penyedia layanan server untuk mempertahankan kualitas kontrol suhu dan kelembaban.""}","{""control_id"": ""A.7.10"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Server ditempatkan di ruangan terkendali yang memenuhi kebutuhan A.7.10 dengan kontrol suhu dan kelembaban yang dipantau 24/7."", ""recommendation"": """"}",A.8.6;A.5.37;A.6.8,0.4509;0.4454;0.4021
Semua laptop yang digunakan di luar kantor dienkripsi dan dilengkapi dengan kemampuan penghapusan jarak jauh.,A.7.9,A.8.14,A.8.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,35.27,63.83,"{""control_id"": ""A.8.14"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat ini mengacu pada pemantauan dan log yang tepat, yang merupakan aspek penting dari A.8.14 (Proteksi atas penggunaan jarak jauh). Mengenkripsi dan menyediakan kemampuan penghapusan jarak jauh memenuhi persyaratan tersebut."", ""recommendation"": ""Implementasikan pemantauan dan log tambahan untuk mengkonfirmasi bahwa semua laptop luar kantor yang dienkripsi juga memiliki fitur penghapusan jarak jauh.""}","{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kendaraan atau perangkat lain yang digunakan oleh pengguna di luar kantor harus dilindungi dengan cara yang sama seperti sistem internal."", ""recommendation"": ""Periksa apakah semua perangkat dilakukan pemeriksaan inspeksi dan verifikasi terhadap keamanannya.""}",A.8.1;A.8.5;A.7.14,0.5445;0.5274;0.5176
Semua laptop yang digunakan di luar kantor dienkripsi dan dilengkapi dengan kemampuan penghapusan jarak jauh.,A.7.9,A.8.4,A.8.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,49.32,57.54,"{
  ""control_id"": ""A.8.4"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat tersebut menggambarkan praktik untuk melindungi perangkat keras (laptop) dari akses ilegal, yang sesuai dengan kontrol A.8.4 tentang pencegahan dan penyelesaian penggunaan perangkat keras."",
  ""recommendation"": ""Jika tidak ada instruksi khusus mengenai penghapusan jarak jauh atau metode alternatif yang digunakan, rekomendasikan untuk menggunakan layanan manajemen keamanan perangkat keras untuk memastikan semua perangkat keras dienkripsi dan dapat dipadamkan secara efektif.""
}","{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kendaraan dan perangkat lain yang digunakan di luar kantor, termasuk laptop, harus dilindungi dari akses tidak sah."", ""recommendation"": ""Dalam skenario dimana laptop dapat ditemukan oleh pihak yang tidak berwenang, rekomendasikan penggunaan fitur penghapusan jarak jauh sebagai langkah antisipatif.""}",A.8.1;A.8.5;A.7.14,0.5445;0.5274;0.5176
Media penyimpanan yang tidak terpakai dimusnahkan menggunakan metode penghancuran fisik bersertifikasi.,A.7.10,A.7.14,A.7.14,Yes,Yes,Yes,Implemented,Implemented,Implemented,19.77,59.33,"{""control_id"": ""A.7.14"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Penyimpanan tidak digunakan yang dimusnahkan sesuai dengan kebijakan penghancuran fisik yang berstandar, memastikan keamanan data."", ""recommendation"": """"}","{""control_id"": ""A.7.14"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Audit menemukan bahwa media penyimpanan yang tidak terpakai dimusnahkan menggunakan metode penghancuran fisik bersertifikasi, sesuai dengan kontrol ISO 27001 A.7.14."", ""recommendation"": ""Belum ada rekomendasi khusus karena implementasinya sudah sesuai.""}",A.7.14;A.8.10;A.7.10,0.7016;0.6452;0.6162
Media penyimpanan yang tidak terpakai dimusnahkan menggunakan metode penghancuran fisik bersertifikasi.,A.7.10,A.7.12,A.7.14,Yes,Yes,Yes,Implemented,Implemented,Implemented,21.58,46.38,"{
  ""control_id"": ""A.7.12"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kontrol ini bertujuan untuk memastikan bahwa media penyimpanan yang tidak lagi digunakan atau sudah rusak diproses secara aman."",
  ""recommendation"": ""Jika belum dilaksanakan, segera berikan instruksi kepada SDM mengenai prosedur penghancuran fisik yang tepat untuk media penyimpanan yang tidak aktif.""
}","{
  ""control_id"": ""A.7.14"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kontrol ini mengacu pada pembuangan atau penggunaan kembali peralatan secara aman, termasuk media penyimpanan. Penghapusan media yang tidak terpakai sesuai dengan pedoman ini."",
  ""recommendation"": ""Jika tidak sudah dilakukan, lakukan evaluasi ulang untuk memastikan bahwa prosedur pembuangan media penyimpanan sesuai dengan kebijakan dan prosedur organisasi.""
}",A.7.14;A.8.10;A.7.10,0.7016;0.6452;0.6162
UPS dan generator cadangan terpasang dan diuji setiap bulan untuk semua sistem kritis.,A.7.11,A.7.14,A.8.29,Yes,Yes,Yes,Implemented,Implemented,Implemented,37.71,53.19,"{""control_id"": ""A.7.14"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menyangkut pengujian terhadap cadangan energi, yang sesuai dengan kontrol A.7.14 tentang 'Pengelolaan Cadangan Fisik'"", ""recommendation"": ""Jika belum dilakukan, laksanakan pengujian secara berkala sesuai jadwal dan dokumentasikan hasilnya.""}","{
  ""control_id"": ""A.8.29"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit menunjukkan bahwa prosedur pengujian keamanan telah diimplementasikan dalam siklus hidup, seperti dengan uji bulanan UPS dan generator cadangan."",
  ""recommendation"": ""Memastikan bahwa proses pengujian semacam ini dilakukan secara berkala sesuai jadwal untuk memastikan keamanannya.""
}",A.8.29;A.5.37;A.8.19,0.4057;0.3557;0.3376
UPS dan generator cadangan terpasang dan diuji setiap bulan untuk semua sistem kritis.,A.7.11,A.7.4,A.8.29,Yes,Yes,Yes,Implemented,Implemented,Implemented,33.28,52.75,"{""control_id"": ""A.7.4"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit mendesribusikan implementasi UPS dan generator terhadap sistem kritikal, yang sesuai dengan kontrol A.7.4 tentang Keamanan Fisik."", ""recommendation"": ""Jika tidak sudah dilakukan secara rutin, lakukan evaluasi ulang pada jadwal pelaksanaan ini.""}","{""control_id"": ""A.8.29"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""UPS dan generator cadangan harus direncanakan dan dievaluasi setiap kali perangkat lunak baru diterapkan."", ""recommendation"": ""Periksa dan implementasikan prosedur pengujian keamanan untuk UPS dan generator secara berkala.""}",A.8.29;A.5.37;A.8.19,0.4057;0.3557;0.3376
Infrastruktur kabel dilindungi dalam saluran tertutup dengan pemisahan kabel daya dan data.,A.7.12,A.7.10,A.7.12,Yes,Yes,Yes,Implemented,Implemented,Implemented,15.57,45.47,"{
  ""control_id"": ""A.7.10"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Infrastruktur kabel yang dilindungi dalam saluran tertutup sesuai dengan kontrol A.7.10 tentang Kondisi dan Fasilitas Fisik."",
  ""recommendation"": """"
}","{""control_id"": ""A.7.12"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Infrastruktur kabel yang dilindungi dalam saluran tertutup meliputi penggunaan kabel daya dan data yang direncanakan dengan tepat untuk memisahkan dan melindungi dari intersepsi, gangguan, dan kerusakan."", ""recommendation"": ""Jika perlu, implementasikan kontrol untuk meningkatkan keamanan kabel dengan metode yang lebih kompleks seperti penggunaan isolasi tinggi atau sistem pengelolaan kabel yang lebih canggih.""}",A.7.12;A.7.11;A.8.20,0.7943;0.6637;0.6292
Jadwal pemeliharaan preventif diterapkan untuk semua peralatan TI kritis sesuai rekomendasi vendor.,A.7.13,A.7.1,A.7.13,Yes,Yes,Yes,Implemented,Implemented,Implemented,20.94,39.41,"{
  ""control_id"": ""A.7.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat tersebut menggambarkan bahwa peralatan TI kritis diatur dengan jadwal pemeliharaan preventif yang sesuai dengan rekomendasi vendor, yang mencerminkan kebijakan teknis (A.5) dan kebijakan fisik (A.7)."",
  ""recommendation"": ""Tidak ada perbaikan diperlukan dalam konteks ini.""
}","{""control_id"": ""A.7.13"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol A.7.13 mengatur pemeliharaan peralatan untuk memastikan ketersediaan, integritas, dan dukungan berkelanjutan terhadap keamanan informasi."", ""recommendation"": ""Jika tidak sesuai dengan vendor, perbaiki jadwal pemeliharaan sesuai rekomendasi vendor.""}",A.7.13;A.8.8;A.7.8,0.6010;0.5650;0.5152
Semua hard disk dimusnahkan secara aman sebelum peralatan lama dibuang atau didaur ulang.,A.7.14,A.7.13,A.7.14,Yes,Yes,Yes,Implemented,Implemented,Implemented,21.56,41.20,"{
  ""control_id"": ""A.7.13"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Pemutusan hubungan dengan peralatan lama melibatkan penghapusan data secara aman, yang sesuai dengan kontrol A.7.13 yang berkaitan dengan penanganan dan pemusnahan perangkat keras penting."",
  ""recommendation"": ""Diperiksa apakah proses pemutusan hubungan tersebut sudah dilakukan sesuai standar ISO 27001.""
}","{""control_id"": ""A.7.14"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kondisi yang dijelaskan menyangkut proses pembuangan atau penggunaan kembali peralatan dengan cara memastikan bahwa data sensitif telah dihapus secara aman."", ""recommendation"": ""Periksa ulang prosedur untuk pengecekan setelah pemusnahan hard disk dan pastikan semua data berbahaya telah benar-benar terhapus.""}",A.7.14;A.8.10;A.8.13,0.5835;0.5039;0.4828
Solusi MDM diterapkan pada semua perangkat endpoint dengan konfigurasi keamanan standar.,A.8.1,A.8.15,A.8.9,Yes,Yes,Yes,Implemented,Implemented,Implemented,17.95,42.31,"{
  ""control_id"": ""A.8.15"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Solusi MDM diterapkan pada semua perangkat endpoint, sesuai dengan kriteria A.8.15 yang menentukan pengelolaan fitur dan solusi untuk mengontrol akses terhadap sistem."",
  ""recommendation"": ""Tidak ada rekomendasi tambahan karena implementasi sudah sesuai dengan kontrol.""
}","{""control_id"": ""A.8.9"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Solusi MDM mencakup konfigurasi keamanan endpoint yang memenuhi kriteria standar yang ditetapkan."", ""recommendation"": ""Periksa penggunaan dan efektivitas solusi MDM untuk menjamin bahwa semua perangkat endpoint telah diterapkan dengan konfigurasi keamanan standar.""}",A.8.9;A.8.27;A.8.7,0.5473;0.4436;0.4282
Solusi MDM diterapkan pada semua perangkat endpoint dengan konfigurasi keamanan standar.,A.8.1,A.7.13,A.8.9,Yes,Yes,Yes,Implemented,Implemented,Implemented,32.00,44.13,"{
  ""control_id"": ""A.7.13"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Solusi MDM telah diterapkan pada semua perangkat endpoint, sesuai dengan standar keamanan yang ditentukan."",
  ""recommendation"": ""Membuat SOP untuk penggunaan dan pemantauan solusi MDM ini lebih detil.""
}","{""control_id"": ""A.8.9"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Solusi MDM telah diterapkan dan semua perangkat endpoint memiliki konfigurasi keamanan standar sesuai dengan ketentuan ISO 27001."", ""recommendation"": ""Kontrol ini sudah terpenuhi, tetapi penting untuk menjaga up-to-date dan memastikan konfigurasinya selalu beradaptasi dengan kebutuhan sistem.""}",A.8.9;A.8.27;A.8.7,0.5473;0.4436;0.4282
Laptop karyawan tidak memiliki enkripsi disk dan antivirus yang terpasang sudah kedaluwarsa.,A.8.1,A.7.12,A.8.5,Yes,Yes,Yes,Not Implemented,Partially Implemented,Not Implemented,32.92,74.57,"{
  ""control_id"": ""A.7.12"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Partially Implemented"",
  ""justification"": ""Laptop karyawan memiliki enkripsi disk dan antivirus, namun antivirus yang digunakan sudah kedaluwarsa."",
  ""recommendation"": ""Menerapkan kebijakan baru untuk memperbarui antivirus secara rutin.""
}","{""control_id"": ""A.8.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Laptop karyawan tidak memiliki enkripsi disk dan antivirus yang terpasang sudah kedaluwarsa, yang berarti belum memenuhi teknologi dan prosedur autentikasi yang aman menurut Kebijakan A.8.5."", ""recommendation"": ""Implementasikan sistem enkripsi disk dan antisivirus dengan jadwal pembaruan rutin.""}",A.8.5;A.7.14;A.8.1,0.4819;0.4690;0.4552
Laptop karyawan tidak memiliki enkripsi disk dan antivirus yang terpasang sudah kedaluwarsa.,A.8.1,A.7.5,A.8.1,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,54.66,56.98,"{
  ""control_id"": ""A.7.5"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Laptop karyawan tidak memiliki enkripsi disk dan antivirus yang terpasang sudah kedaluwarsa menunjukkan adanya kelemahan dalam kontrol A.7.5 (Fisik - Perangkat Lunak Kunci)"",
  ""recommendation"": ""Implementasikan peraturan instalasi antivirus dan aktivasi enkripsi untuk semua perangkat lunak yang beroperasi di organisasi""
}","{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Laptop karyawan tidak memiliki enkripsi disk dan antivirus yang terpasang, sehingga tidak memenuhi kebijakan A.8.1 untuk melindungi informasi pada perangkat akhir pengguna dengan teknologi dan prosedur yang aman."", ""recommendation"": ""Implementasikan sistem enkripsi disk dan instal antivirus pada laptop karyawan.""}",A.8.5;A.7.14;A.8.1,0.4819;0.4690;0.4552
Akses administrator sistem menggunakan akun terpisah dengan pencatatan sesi dan tinjauan berkala.,A.8.2,A.8.1,A.8.18,Yes,Yes,Yes,Implemented,Implemented,Partially Implemented,38.32,79.11,"{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menggambarkan akses administrator yang menggunakan akun terpisah, sesuai dengan kontrol A.8.1 tentang 'Penggunaan Akun Administrator', yang mencakup pemisahan antara akun admin dan pengguna reguler."", ""recommendation"": ""Tinjau dan pastikan bahwa semua kebijakan akses administrator telah disesuaikan untuk menerapkan penugasan akun terpisah.""}","{""control_id"": ""A.8.18"", ""applicable"": ""Yes"", ""implementation_status"": ""Partially Implemented"", ""justification"": ""Kontrol A.8.18 menangani pengendalian terhadap program utilitas yang mungkin meloloskan kebijakan akses sistem. Meskipun mengadopsi akun administrasi terpisah, belum ada pemantauan berkelanjutan dan peninjauan berkala untuk memastikan pelanggaran tidak terjadi."", ""recommendation"": ""Implementasikan program monitor utilitas dan tinjauan berkala secara rutin untuk mengantisipasi penggunaan yang ilegal atau bukan asli.""}",A.5.18;A.8.3;A.8.18,0.4998;0.4952;0.4715
Akses administrator sistem menggunakan akun terpisah dengan pencatatan sesi dan tinjauan berkala.,A.8.2,A.5.14,A.5.18,Yes,Yes,Yes,Implemented,Implemented,Implemented,63.29,37.46,"{
  ""control_id"": ""A.5.14"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan A.5.14 tentang Kehadiran Admin yang Tersedia menjelaskan kebijakan dan praktik yang harus dilakukan untuk memastikan bahwa administrator sistem telah mengakses dengan benar."",
  ""recommendation"": ""Sesuaikan dan implementasikan kebijakan A.5.14 agar lebih spesifik tentang penggunaan akun terpisah dan pencatatan sesi untuk admin.""
}","{""control_id"": ""A.5.18"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit mengacu pada hak akses pengguna yang disediakan sesuai dengan kebijakan dan aturan pengendalian akses organisasi, yang sesuai dengan A.5.18."", ""recommendation"": ""Pastikan proses penyimpanan diatur untuk mematuhi kewenangan hak akses terkait.""}",A.5.18;A.8.3;A.8.18,0.4998;0.4952;0.4715
Kontrol akses berbasis peran diterapkan pada semua aplikasi bisnis dengan prinsip deny-by-default.,A.8.3,A.5.1,A.8.3,Yes,Yes,Yes,Implemented,Implemented,Implemented,51.95,41.55,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat ini mencakup penggunaan peraturan akses berbasis peran yang merupakan elemen penting dari Kebijakan A.5.1 kontrol ISO 27001."", ""recommendation"": ""Tidak ada perbaikan diperlukan karena kebijakan telah diimplementasikan dengan baik.""}","{
  ""control_id"": ""A.8.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kontrol akses berbasis peran telah diterapkan pada semua aplikasi bisnis, yang sesuai dengan kebijakan pengendalian akses."",
  ""recommendation"": ""Tinjau dan konfirmasikan kembali kebijakan dan prosedur penggunaan hak akses untuk memastikan efektivitas kontrol.""
}",A.8.3;A.5.15;A.5.18,0.6117;0.6010;0.5924
Kontrol akses berbasis peran diterapkan pada semua aplikasi bisnis dengan prinsip deny-by-default.,A.8.3,A.5.1,A.8.3,Yes,Yes,Yes,Implemented,Implemented,Implemented,31.42,54.51,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol ini mengacu pada kebijakan akses peran yang telah diterapkan untuk semua aplikasi bisnis, sesuai dengan ISO 27001."", ""recommendation"": ""Tidak ada rekomendasi perbaikan karena kontrol sudah dilaksanakan secara menyeluruh.""}","{""control_id"": ""A.8.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menggambarkan bahwa kontrol akses berbasis peran telah diterapkan pada semua aplikasi bisnis, sesuai dengan A.8.3 yang membahas pembatasan akses informasi."", ""recommendation"": ""Jika belum dilakukan, penting untuk melakukan evaluasi dan dokumentasi lebih lanjut terkait implementasi kontrol akses berbasis peran.""}",A.8.3;A.5.15;A.5.18,0.6117;0.6010;0.5924
Kode sumber disimpan dalam repositori Git dengan code review wajib sebelum merge ke produksi.,A.8.4,A.8.1,A.8.4,Yes,Yes,Yes,Implemented,Implemented,Implemented,45.06,45.69,"{
  ""control_id"": ""A.8.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit menggambarkan bahwa kode sumber disimpan menggunakan praktek yang dianjurkan dalam kontrol A.8.1, yaitu 'Penggunaan perangkat lunak dan teknologi untuk pemantauan keamanan.'."",
  ""recommendation"": ""Rekomendasi: Perkuat validasi dan pengecekan kode sebelum merge ke produksi untuk meningkatkan keamanan.""
}","{""control_id"": ""A.8.4"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kode sumber yang disimpan dalam repositori Git dengan code review menjadikan kontrol ini langsung relevan."", ""recommendation"": ""Menguji lebih lanjut untuk memastikan bahwa prosedur code review terus dijalankan secara sistematis.""}",A.8.4;A.8.28;A.8.19,0.5582;0.4220;0.3764
Kode sumber disimpan dalam repositori Git dengan code review wajib sebelum merge ke produksi.,A.8.4,A.8.2,A.8.4,Yes,Yes,Yes,Implemented,Implemented,Implemented,40.13,51.01,"{""control_id"": ""A.8.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kode sumber yang disimpan dalam repositori Git dengan code review memenuhi persyaratan A.8.2 untuk mengimplementasikan metode kontrol teknologi informasi."", ""recommendation"": ""Tidak ada perbaikan diperlukan.""}","{""control_id"": ""A.8.4"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kode sumber yang disimpan menggunakan metode pengecekan kode berdasarkan A.8.4 mengurangi risiko pengenalan fungsionalitas tidak diinginkan."", ""recommendation"": ""Terkait dengan A.8.4, periksa kembali prosedur code review dan tambahkan aturan baru untuk mencegah akses ke kode sumber yang ilegal atau tidak sah.""}",A.8.4;A.8.28;A.8.19,0.5582;0.4220;0.3764
Multi-factor authentication diterapkan untuk semua akses ke sistem kritis dengan batas percobaan login.,A.8.5,A.5.3,A.8.5,Yes,Yes,Yes,Implemented,Implemented,Implemented,34.91,49.20,"{
  ""control_id"": ""A.5.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Multi-factor authentication adalah metode keamanan tambahan yang meningkatkan keamanan sistem, sesuai dengan kontrol A.5.3 (Metode Kebijakan untuk Keamanan Informasi)."",
  ""recommendation"": ""Jika belum dilakukan, segera implementasikan multi-factor authentication untuk akses ke semua sistem kritis.""
}","{""control_id"": ""A.8.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kendalikan autentikasi yang aman untuk sistem kritis dengan metode multi-factor sesuai dengan kebijakan dan pembatasan akses."", ""recommendation"": ""Periksa penggunaan teknologi dan prosedur baru jika terdapat perubahan pada metode autentikasi.""}",A.8.5;A.8.29;A.5.17,0.5900;0.4471;0.4393
Multi-factor authentication diterapkan untuk semua akses ke sistem kritis dengan batas percobaan login.,A.8.5,A.5.3,A.8.5,Yes,Yes,Yes,Implemented,Implemented,Implemented,30.43,52.41,"{
  ""control_id"": ""A.5.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan tersebut memastikan bahwa multi-factor authentication digunakan untuk semua akses ke sistem kritis."",
  ""recommendation"": ""Jika tidak dilakukan, maka segera diterapkan multi-factor authentication.""
}","{""control_id"": ""A.8.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kendalikan autentikasi yang aman terhadap akses ke sistem kritis sesuai dengan A.8.5."", ""recommendation"": ""Bersama SDM lainnya, tetapkan dan implementasikan prosedur autentikasi yang lebih kompleks untuk meningkatkan keamanan akses.""}",A.8.5;A.8.29;A.5.17,0.5900;0.4471;0.4393
Pemantauan kapasitas real-time diterapkan dengan peringatan otomatis saat penggunaan melebihi 80 persen.,A.8.6,A.7.15,A.8.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,39.51,52.78,"{
    ""control_id"": ""A.7.15"",
    ""applicable"": ""Yes"",
    ""implementation_status"": ""Implemented"",
    ""justification"": ""Kontrol A.7.15 mencakup pemantauan dan tindakan terhadap penggunaan sumber daya yang melebihi kapasitasnya, termasuk peringatan otomatis."",
    ""recommendation"": ""Perbaikan dapat dilakukan dengan mengoptimalkan algoritma pemberitahuan untuk memastikan bahwa tanda-tandanya sesuai dan efektif dalam memberi tahu pengguna tentang penggunaan sumber daya yang melebihi batas.""
}","{""control_id"": ""A.8.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Pemantauan kapasitas real-time dan peringatan otomatis sesuai dengan kontrol A.8.6 yang mengatur manajemen kapasitas organisasi."", ""recommendation"": ""Jika masih diperlukan, implementasikan sistem pemantauan lebih baik untuk memastikan kinerja teknis secara maksimal.""}",A.8.6;A.8.17;A.5.37,0.4064;0.3723;0.3707
Pemantauan kapasitas real-time diterapkan dengan peringatan otomatis saat penggunaan melebihi 80 persen.,A.8.6,A.8.16,A.8.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,38.50,58.47,"{""control_id"": ""A.8.16"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Pemantauan kapasitas real-time sesuai dengan kontrol A.8.16 yang mengatur sistem manajemen kapasitas."", ""recommendation"": ""Periksa kembali implementasi kontrol ini untuk memastikan bahwa proses deteksi otomatis masih efektif dan up-to-date.""}","{""control_id"": ""A.8.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol A.8.6 berkaitan dengan pengelolaan kapasitas dan monitor terhadap penggunaan sumber daya, sesuai dengan kondisi audit yang mencakup pemantauan real-time dan peringatan otomatis."", ""recommendation"": ""Konfirmasi dengan manajemen untuk memastikan bahwa sistem telah melakukan analisis proyeksi kapasitas masa depan.""}",A.8.6;A.8.17;A.5.37,0.4064;0.3723;0.3707
